,user_ids,support,itemsets,period,property_values,depth,size,AGE,itemset_name
271,"[270220, 296486, 311176, 454720, 509386]",5, 2968 1531,2017-06-01,50-65,0.1111111111111111,5,50-65,['TW 10 LINGUETTE']
272,"[157573, 171799, 325354]",3, 4112 4125,2017-06-01,50-65,0.1111111111111111,3,50-65,"['LAVAGE CLU', 'RECHARGE LAVAGE TW - A']"
273,"[125579, 165402, 184791, 470752, 894316]",5, 4136 4126,2017-06-01,50-65,0.1111111111111111,5,50-65,"['RECHARGE LAVAGE', 'RECHARGE LAVAGE TW - D']"
276,"[200047, 270220, 295879, 374383, 391197, 392030, 413440, 474879, 497674, 567787, 589776, 589811]",12, 1531 4916,2017-06-01,50-65,0.1111111111111111,12,50-65,['SERVIT.MARSU PA']
279,"[349380, 428202, 471775, 584447, 715341]",5, 264 263,2017-06-01,50-65,0.1111111111111111,5,50-65,"['REMISE BUS AUTOROUTE 15\x80', 'REMISE BUS AUTOROUTE 9\x80']"
280,"[363692, 415279, 471775, 521191, 526400, 535929, 584447, 752568, 908778]",9, 1547 263,2017-06-01,50-65,0.1111111111111111,9,50-65,"['REMISE BUS AUTOROUTE 9\x80', 'SAC BOUTIQUE KRAFT']"
281,"[128265, 157573, 238881, 563868]",4, 4099 4125,2017-06-01,50-65,0.1111111111111111,4,50-65,"['LAVAGE 1 PLEIN', 'RECHARGE LAVAGE TW - A']"
286,"[144418, 158554, 161394, 165756, 297988, 305678, 640747]",7, 236 4916,2017-06-01,50-65,0.1111111111111111,7,50-65,['SERVIT.MARSU PA']
301,"[165402, 225099, 291218, 334092, 339905, 408070, 470752, 477133, 575459]",9, 4136 2944,2017-06-01,50-65,0.1111111111111111,9,50-65,"['RECHARGE LAVAGE TW - D', 'TW  LAVE GLACE DEMOUSTIQUEUR 4L']"
303,"[123777, 421479, 660059]",3, 1531 4918 4917,2017-06-01,50-65,0.1111111111111111,3,50-65,"['SERVIT.BILL PAP ETE 2017', 'SERVIT.GASTON P']"
304,"[619437, 734723, 957240]",3, 3261 1547 263,2017-06-01,35-49,0.1111111111111111,3,35-49,"['FUSILLI FROMAGE 300G', 'REMISE BUS AUTOROUTE 9\x80', 'SAC BOUTIQUE KRAFT']"
308,"[574634, 619437, 622013]",3, 4401 263,2017-06-01,35-49,0.1111111111111111,3,35-49,"['MINI BROWNIES PEPITES X8 240G', 'REMISE BUS AUTOROUTE 9\x80']"
309,"[574634, 751356, 758594]",3, 2313 263 6320,2017-06-01,35-49,0.1111111111111111,3,35-49,"['MILKA CHOCO PAUSE 260G', 'PEPITO LAIT 200G', 'REMISE BUS AUTOROUTE 9\x80']"
311,"[406221, 734723, 754685]",3, 674 602,2017-06-01,35-49,0.1111111111111111,3,35-49,"['CR COCA COLA BT', 'CR SANDWHICH OCEANIQUE (NEW)']"
312,"[149358, 758594, 828469]",3, 6734 3509,2017-06-01,35-49,0.1111111111111111,3,35-49,"['BARRE NOCCIO NO', 'CRISTALINE 50CL']"
319,"[519885, 622027, 971894]",3, 1672 1738 264,2017-06-01,35-49,0.1111111111111111,3,35-49,"['CR CAFE EXPRESSO', 'CR ECLAIR PARFUM CHOCOLAT 70 GR', 'REMISE BUS AUTOROUTE 15\x80']"
320,"[406221, 622027, 971894]",3, 1672 602,2017-06-01,35-49,0.1111111111111111,3,35-49,"['CR ECLAIR PARFUM CHOCOLAT 70 GR', 'CR SANDWHICH OCEANIQUE (NEW)']"
